Country,ISO3,Region,CPI score 2020,Rank 2020,CPI score 2019,Rank 2019,CPI score 2016,Rank 2016,Employment_ratio-2016,Employment_ratio-2019,GDP_per_capita-2016,GDP_per_capita-2019,HDI_index-2016,HDI_index-2019,Women_in_parliament_(%)-2016,Women_in_parliament_(%)-2019
Montenegro,MNE,ECA,45,67,45,66,45.0,64.0,43.874,46.341,18745.18,21378.575,0.818,0.829,23.457,28.395
Senegal,SEN,SSA,45,67,45,66,45.0,64.0,42.615,42.667,3067.663,3394.869,0.509,0.512,42.667,41.818
Hungary,HUN,WE/EU,44,69,44,70,48.0,57.0,52.907,54.548,28230.554,32622.851,0.844,0.854,10.101,12.563
Romania,ROU,WE/EU,44,69,44,70,48.0,57.0,50.554,52.489,25238.187,29908.979,0.82,0.828,11.951,19.57
South Africa,ZAF,SSA,44,69,44,70,45.0,64.0,40.787,40.231,12703.82,12481.813,0.703,0.709,41.189,45.333
Bulgaria,BGR,WE/EU,44,69,43,74,41.0,75.0,49.402,52.964,20489.082,23091.342,0.811,0.816,20.417,25.833
Tunisia,TUN,MENA,44,69,43,74,41.0,75.0,39.46,38.734,10524.994,10755.58,0.731,0.74,31.336,22.581
Jamaica,JAM,AME,44,69,43,74,39.0,83.0,57.029,60.746,9550.81,9761.499,0.731,0.734,19.048,19.048
Ghana,GHA,SSA,43,75,41,80,43.0,70.0,64.312,64.862,4724.125,5412.628,0.598,0.611,10.909,13.091
Maldives,MDV,AP,43,75,29,130,36.0,95.0,63.486,65.507,17582.657,18914.333,0.728,0.74,5.882,4.598
Vanuatu,VUT,AP,43,75,46,64,,,66.791,66.811,3066.322,3143.628,0.598,0.609,0.1,0.1
Bahrain,BHR,MENA,42,78,42,77,43.0,70.0,71.389,72.838,48091.019,45025.772,0.853,0.852,15.0,18.75
Solomon Islands,SLB,AP,42,78,42,77,42.0,72.0,83.35,83.353,2314.792,2367.404,0.561,0.567,2.0,4.082
Kuwait,KWT,MENA,42,78,40,85,41.0,75.0,71.192,71.889,54708.703,49846.144,0.804,0.806,2.0,4.615
China,CHN,AP,42,78,41,80,40.0,79.0,66.281,65.05,13487.948,16116.704,0.746,0.761,23.623,24.941
